EV Logger Parsed Log
Generated: Tue Mar  4 18:47:07 2014
Frequency: 1kHz
ADC0, ADC1, ADC2, ADC3, ADC4, ADC5, ADC6, ACCELX, ACCELY, ACCELZ
771, 1272, 1888, 2116, 2132, 2214, 0, 7, 1, 68
755, 1520, 1963, 2033, 2234, 2204, 0, 8, 252, 55
755, 1520, 1963, 2033, 2234, 2204, 0, 8, 252, 55
760, 1563, 1771, 2092, 2098, 2115, 0, 8, 252, 55
760, 1563, 1771, 2092, 2098, 2115, 0, 8, 0, 64
753, 1561, 1723, 1956, 1979, 2074, 0, 5, 0, 64
753, 1561, 1723, 1956, 1979, 2074, 0, 6, 2, 65
750, 1550, 1670, 1744, 1988, 2088, 0, 6, 2, 65
750, 1550, 1670, 1744, 1988, 2088, 0, 6, 2, 65
751, 1560, 1692, 1784, 2104, 2111, 0, 7, 253, 63
751, 1560, 1692, 1784, 2104, 2111, 0, 7, 253, 63
758, 1576, 1761, 2019, 2203, 2084, 0, 4, 1, 75
758, 1576, 1761, 2019, 2203, 2084, 0, 4, 1, 75
762, 1588, 1822, 1907, 2202, 2067, 0, 4, 1, 75
762, 1588, 1822, 1907, 2202, 2067, 0, 4, 1, 66
768, 1262, 1832, 1918, 2230, 2163, 0, 7, 1, 66
768, 1262, 1832, 1918, 2230, 2163, 0, 7, 0, 66
761, 1533, 1991, 2092, 2112, 2155, 0, 7, 0, 66
761, 1533, 1991, 2092, 2112, 2155, 0, 7, 0, 66
771, 1272, 1887, 2125, 2192, 2049, 0, 6, 1, 68
771, 1272, 1887, 2125, 2192, 2049, 0, 6, 1, 68
756, 1511, 1950, 1980, 2083, 2040, 0, 7, 1, 68
